code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
34DDTM20120167,Montpellier-Lunel-Mauguio,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",Bassin Rhône-Méditerranée,12/12/2012,20/12/2013,15/02/2016,08/05/2016,23/06/2017,,30136,JUNAS
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30141,LAUDUN-L'ARDOISE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30178,MONTFAUCON
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30191,ORSAN
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30202,PONT-SAINT-ESPRIT
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30209,PUJAUT
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30217,ROCHEFORT-DU-GARD
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30221,ROQUEMAURE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30226,SAINT-ALEXANDRE
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30254,SAINT-GENIES-DE-COMOLAS
30DREAL20140001,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30258,SAINT-GILLES
30DREAL20140002,TRI Delta du Rhône,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,,20/12/2013,,,,06/11/2012,30258,SAINT-GILLES
84DREAL20140001,TRI Avignon,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}]",,,01/08/2014,,,,06/11/2012,30273,SAINT-JULIEN-DE-PEYROLAS
